area_project,line,line_sub,usecase,type,digital_lever
Large Liquid MFG,Qoo,shadowing_0,Automated batch for liquid mixing and filling,Local Idea,Digital Management Tools & Connectivity
Liquid Filling (Auto),CC Drums Liquid Filling,OEE top 1,Automated capper & torque systems,Local Idea,Advanced Production Method and Material
Dry Part (Manual),Manual Station,shadowing_1,Automated checkweigher setup and verification from sap po download (manual filling),Local Idea,Digital Ways of Working
Dry Part (Manual),Manual Station,shadowing_3,Automated checkwieigher setup and verification from sap po download (color),Local Idea,Digital Ways of Working
Large Liquid MFG,Quality Lab,Process,Automated CIP system,Local Idea,Advanced Production Method and Material
Others / Multiple Areas,Management System,Handover,Automated daily operation dashboard,Local Idea,Digital Management Tools & Connectivity
Liquid Filling (Auto),Serac 1,shadowing_0,Automated Depalletizing and palletizing equipment,Local Idea,Advanced Production Method and Material
Large Liquid MFG,BB Batching,shadowing_0,Automated gi/gr process,Local Idea,Digital Management Tools & Connectivity
Large Liquid MFG,BB Batching,shadowing_0,Automated ingredient report for po,Local Idea,Digital Management Tools & Connectivity
Dry Part (Auto),Kitting Station,shadowing_1,Automated ingredient report for po,Local Idea,Digital Management Tools & Connectivity
Liquid Filling (Auto),Serac 1,shadowing_0,Automated labeling Machine,Local Idea,Advanced Production Method and Material
Others / Multiple Areas,scheduling,scheduling,Automated LMPC to consider available ingredient stock,Local Idea,Digital Ways of Working
Dry Part (Manual),Manual Station,shadowing_1,Automated manual scooping and sealing,Local Idea,Advanced Production Method and Material
Dry Part (Manual),Dry Manual WIP Filling Line,OEE top 1,Automated recipe load (checkweigher),Local Idea,Digital Management Tools & Connectivity
Maintenance,Maintenance,Process,Automated Spare Parts Storage System,Local Idea,Advanced Production Method and Material
Others / Multiple Areas,scheduling,scheduling,Automated stock projection,Local Idea,Digital Management Tools & Connectivity
Maintenance,maintenance technician,dilo,Automated water sampling,Local Idea,Digital Management Tools & Connectivity
Warehouse,Warehouse,Process,Automated WH Projection & Occupancy report,Local Idea,Digital Ways of Working
Others / Multiple Areas,scheduling,scheduling,Automated WOS report,Local Idea,Digital Ways of Working
Dry Part (Manual),Dry Manual Line 2,shadowing_0,Automatic bag inserter,Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),CC Drums Liquid Filling,OEE top 1,Automatic density monitor (on-line release),Local Idea,Advanced Production Method and Material
Dry Part (Auto),Color,shadowing_0,Automatic dry parts fillers parameters loading,Local Idea,Advanced Analytics
Quality Lab,Quality Lab,Process,Automatic ingredients labels,Local Idea,Digital Ways of Working
Dry Part (Auto),Dry Semi Auto Line,shadowing_0,Automatic Labeler,Local Idea,Advanced Production Method and Material
Dry Part (Auto),DRY SEMI-AUTO ROOM (K-Tron),shadowing_2,Automatic Labeler,Local Idea,Advanced Production Method and Material
Quality Lab,Quality Lab,Process,Automatic labelling for finished products coming from production,Local Idea,Digital Ways of Working
Large Liquid MFG,S Sab E 3&4,shadowing_1,Automatic Manifold,Local Idea,Advanced Production Method and Material
Maintenance,maintenance technician,dilo,Automatic measurement tool for Maintenance Plan follow up,Local Idea,Digital Management Tools & Connectivity
Liquid Filling (Auto),Twin Head Serac,OEE top 1,Automatic plugger and capper for twin head line,Local Idea,Advanced Production Method and Material
Dry Part (Manual),Dry Hand Filled  Kitchen,OEE top 3,Automatic rejection - checkweighers,Local Idea,Other / Analogue
Dry Part (Auto),Piggyback,material flow 1,Automatic Replenishment of High Runner Ingredients,Local Idea,Digital Management Tools & Connectivity
Warehouse,Warehouse,Process,Automatic scan materials control,Local Idea,Advanced Production Method and Material
Warehouse,warehouse material flow 1,material flow 1,Automating Replenishment of High Runner Packaging Material in EB with AGV,Local Idea,Advanced Production Method and Material
Warehouse,warehouse technician,shadowing_1,Automating Warehouse Incoming Shipment,Lighthouse,Advanced Production Method and Material
Large Liquid MFG,MUV,MUV,"Avoid CCP1 and CCP2 Remnant Handling in IBC containers,",Local Idea,Other / Analogue
Maintenance,Maintenance,Process,Bec sop advisor,Local Idea,Digital Ways of Working
Dry Part (Auto),FFS 3H,shadowing_0,Big Bag check scanner,Local Idea,Digital Ways of Working
Dry Part (Auto),FFS 3H,shadowing_0,Big bag replace alarm,Local Idea,Other / Analogue
Dry Part (Auto),Combi L2,shadowing_0,Bin to box,Local Idea,Advanced Production Method and Material
Dry Part (Auto),Kitting Station,shadowing_1,Black bin tracability (manual kitting),Local Idea,Digital Ways of Working
Dry Part (Auto),Kitting Station,OEE top 3,Black bin tracability (piggyback kitting),Local Idea,Digital Ways of Working
Others / Multiple Areas,scheduling,scheduling,Block report digitalization,Local Idea,Digital Management Tools & Connectivity
Maintenance,maintenance manager,dilo,Bms implementation (water /steam/electricity/hvac/hsd/ldo),Local Idea,Digital Ways of Working
Dry Part (Manual),Dry Manual Line 2,shadowing_0,Box pusher modification,Local Idea,Other / Analogue
Maintenance,Maintenance,Breakdown Downtime,"Breakdown elimination focus on d3107,d3109,f3125(d3106）",Local Idea,Other / Analogue
Maintenance,Maintenance,Breakdown Occurence,Breakdown Tracking for Facilities,Local Idea,Digital Management Tools & Connectivity
Maintenance,IT/OT,IT/OT_System,Building Management System,Local Idea,Digital Ways of Working
Warehouse,Warehouse,Process,Bulk storage tank monitoring system,Local Idea,Digital Management Tools & Connectivity
Quality Lab,Quality Lab,Process,Calibration/verification scales lab,Local Idea,Digital Ways of Working
Maintenance,Dry Mix SKU Filling line,OEE top 2,Capacity Enhancement for HVAC.,Local Idea,Other / Analogue
Dry Part (Auto),Kitting Station,shadowing_1,Carton weight uniformity,Local Idea,Other / Analogue
Large Liquid MFG,S Sab E 3&4,OEE top 2,Caustic soda consumption,Lighthouse,Advanced Analytics
Maintenance,Maintenance,Breakdown Occurence,Central Portal for Engineering Request,Local Idea,Digital Ways of Working
Maintenance,Maintenance,Process,Centralized Maintenance System,Local Idea,Digital Ways of Working
Others / Multiple Areas,Please Select,OEE top 2,Centralized Recipe Control,Local Idea,Advanced Production Method and Material
Large Liquid MFG,Liquid Processing,shadowing_0,"Challenge the process parameter check in production: purpose, reason",Local Idea,Advanced Production Method and Material
Maintenance,Maintenance,Breakdown Occurence,Change spare part replacment cycle,Local Idea,Other / Analogue
Dry Part (Auto),Filling Dry Part Manufacturing 01,shadowing_1,Change the clamp system to ease the tightening step,Local Idea,Other / Analogue
Warehouse,Warehouse,Process,Change vendor for WH Transfer between CCI WH & Ext WH-Horizon 1A,Local Idea,Other / Analogue
Dry Part (Manual),Dry Hand Filled  Kitchen,OEE top 1,Changeover optimization for dry parts,Local Idea,Advanced Analytics
Large Liquid MFG,Liquid Processing,shadowing_1,Check to PK why they can perform only simple blend,Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),Serac 1,OEE top 1,CIP Alerting System (CIPAS),Lighthouse,Advanced Production Method and Material
Large Liquid MFG,BB Room 10KL tank1,OEE top 1,CIP Evaluation for Emulsion Based Products,Local Idea,Advanced Analytics
Dry Part (Auto),Piggyback,OEE top 1,CIP for Dry parts (Dry Blow Down Only) (POC),Local Idea,Advanced Production Method and Material
Dry Part (Manual),Filling Dry Part Manufacturing 02,OEE top 1,Close loop system to reduce the water as simple as making box to do scooping (like baby incubator),Local Idea,Other / Analogue
Quality Lab,Quality Lab,Process,Cobot for beverage prep,Local Idea,Advanced Production Method and Material
Liquid Kitchen,Liquid Flexi Filling,shadowing_0,Cobot for carton forming and pick and place,Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),Beverage Base Liquid Filling,OEE top 2,Cobot packaging material supply lp,Local Idea,Advanced Production Method and Material
Dry Part (Auto),Kitting Station,OEE top 3,Cobots for ingredient picking and vision inspection enabled carton sealing,Local Idea,Advanced Production Method and Material
Dry Part (Manual),Manual Kitting,OEE top 2,Cobots for Kitting,Local Idea,Advanced Production Method and Material
Dry Part (Auto),Piggyback,OEE top 1,Cobots for WIP kitting,Local Idea,Advanced Production Method and Material
Warehouse,BB Room 10KL tank1,OEE top 1,Coke Room Area Unlock for Mixing Operations,Local Idea,Other / Analogue
Quality Lab,Quality Lab,Root Cause Process,Colaborative problem solving,Local Idea,Digital Ways of Working
Warehouse,Warehouse,Process,Cold Store Racking System Modification,Local Idea,Other / Analogue
Quality Lab,Quality Lab,Root Cause Process,Collaborative Platform for RCA and CAPA,Local Idea,Digital Ways of Working
Dry Part (Auto),Combi L1,OEE top 1,Combi pick and place,Local Idea,Advanced Production Method and Material
Dry Part (Auto),Dry Mix SKU Filling line,shadowing_0,Compliance / GMP requirements related to material handling,Local Idea,Other / Analogue
Quality Lab,quality lab_analyst,shadowing_0,Compusense integration with sap,Local Idea,Digital Management Tools & Connectivity
Maintenance,Maintenance,Process,Computerized Maintenance Planning Tool,Local Idea,Digital Ways of Working
Maintenance,Serac 8HD,dilo,Condition Based Monitoring for High Runner Old System,Local Idea,Advanced Analytics
Maintenance,Maintenance,Breakdown Occurence,Conditions based maintenance for BB Agitator,Local Idea,Advanced Analytics
Maintenance,Maintenance,Breakdown Occurence,Conditions based maintenance for BB Pumps,Local Idea,Advanced Analytics
Maintenance,Maintenance,Breakdown Occurence,Conditions based maintenance for CC agitator,Local Idea,Advanced Analytics
Maintenance,Maintenance,Breakdown Occurence,Conditions based maintenance for CC pumps,Local Idea,Advanced Analytics
Maintenance,maintenance PM technician,shadowing_0,Conditions based maitenance for sealers,Local Idea,Advanced Analytics
Quality Lab,quality lab_technician,shadowing_0,Continuos monitoring of raw and treated water.,Local Idea,Advanced Production Method and Material
Quality Lab,Quality Lab,Root Cause Process,Continuous Improvement Tool- QFS Near Miss Reporting,Local Idea,Digital Ways of Working
Dry Part (Manual),Dry Manual filling,shadowing_1,Continuous WIP Sealing Machines,Local Idea,Advanced Production Method and Material
Liquid Kitchen,Filling Liquid Part Manufacturing 02,OEE top 1,COP machine,Local Idea,Advanced Production Method and Material
Others / Multiple Areas,IT/OT,IT/OT_System,CPS OEE SPC - Global Strategy,Lighthouse,Digital Management Tools & Connectivity
Others / Multiple Areas,Filling Dry Part Manufacturing 01,OEE top 2,"Cross department workshop QSE Prod P&L: sample readiness, ingredient released, label readiness, production rate, planning accuracy",Local Idea,Other / Analogue
Quality Lab,Quality Lab,Root Cause Process,"Dashboard for notification on incoming receipts, production plan and dispatch plan",Local Idea,Digital Ways of Working
Dry Part (Auto),Filling Dry Part Manufacturing 01,dilo,Dashboard of performance (decide the KPI to be appeared),Local Idea,Digital Management Tools & Connectivity
Warehouse,warehouse material flow 1,material flow 1,Data Analysis of AGV Movement,Local Idea,Advanced Analytics
Others / Multiple Areas,Bases de bebidas,dilo,Data capture automation,Local Idea,Digital Ways of Working
Dry Part (Auto),Color,shadowing_0,DCOL - Alarm system for bag inserter machine,Local Idea,Digital Management Tools & Connectivity
Dry Part (Auto),Color,shadowing_0,DCOL - Automatic bag sealer for color,Local Idea,Advanced Production Method and Material
Dry Part (Auto),Color,dilo,DCOL - Weight control for supersack dosing,Local Idea,Advanced Production Method and Material
Large Liquid MFG,BB Batching,shadowing_0,Deaeration system to reduce waiting time required,Local Idea,Other / Analogue
Large Liquid MFG,Qoo,shadowing_0,Debottleneck the burble process,Local Idea,Other / Analogue
Large Liquid MFG,BB Room 10KL tank1,shadowing_4,Dedicated 3/4 Mix Tanks for Coke Manufacturing,Local Idea,Advanced Production Method and Material
Maintenance,maintenance PM technician,shadowing_1,Dedicated Feeder for Plant,Local Idea,Other / Analogue
Others / Multiple Areas,Warehouse,Process,Delivery note Manual Signatures ( Sales document),Local Idea,Digital Ways of Working
Quality Lab,Quality Lab,Process,Deployment of Digital Standard Form for Lab Equipment Verification,Local Idea,Digital Ways of Working
Quality Lab,Quality Lab,Process,Deployment of Power Automate for Lab Calibration and Lab Consumables Stock Control,Local Idea,Digital Management Tools & Connectivity
Dry Part (Manual),Dry Manual WIP Filling Line,OEE top 1,Develop changeover metrics,Local Idea,Other / Analogue
Dry Part (Auto),Dry Multi-head Filling Line,OEE top 1,Develop changeover metrics,Local Idea,Other / Analogue
Quality Lab,Quality Lab,Process,Develop digital tool for calibration/verification,Local Idea,Digital Ways of Working
Quality Lab,Quality Lab,Customer Complaint,Develop effective response process for customer complaints,Local Idea,Digital Management Tools & Connectivity
Warehouse,warehouse technician,shadowing_1,"Digital ""Tarja""",Local Idea,Digital Ways of Working
Quality Lab,quality lab_manager,dilo,Digital dashboard for testing,Local Idea,Digital Management Tools & Connectivity
Maintenance,Maintenance,Breakdown Occurence,Digital FMEA for production and service machines,Local Idea,Digital Ways of Working
Others / Multiple Areas,Management System,Department,Digital performance management,Local Idea,Digital Management Tools & Connectivity
Quality Lab,quality lab_manager,dilo,Digital record for non-sap record sample testing,Local Idea,Digital Management Tools & Connectivity
Maintenance,maintenance CM technician,shadowing_0,Digital recording tool for maintenance orders,Local Idea,Digital Management Tools & Connectivity
Quality Lab,Quality Lab,Process,Digital sampling control v2,Local Idea,Digital Ways of Working
Quality Lab,quality lab_manager,dilo,Digital scheduling tool for lab manpower allocation,Local Idea,Digital Management Tools & Connectivity
Others / Multiple Areas,Please Select,Process,Digital security guards checks,Local Idea,Digital Ways of Working
Dry Part (Auto),Dry Multi-head Filling Line,OEE top 2,Digital smed for plan stop (daily),Local Idea,Digital Ways of Working
Dry Part (Auto),Dry Multi-head Filling Line,OEE top 2,Digital smed for plan stop (weekly),Local Idea,Digital Ways of Working
Liquid Filling (Auto),Liquid 8HD Filling Line,shadowing_0,Digital standard forms,Local Idea,Digital Ways of Working
Maintenance,Maintenance,Process,Digital standard forms,Local Idea,Digital Ways of Working
Others / Multiple Areas,Please Select,dilo,Digital standard forms,Local Idea,Digital Ways of Working
Others / Multiple Areas,IT/OT,IT/OT_Process,Digital Standard Forms (DSF),Local Idea,Digital Ways of Working
Others / Multiple Areas,Quality Lab,Root Cause Process,"Digital standard forms (eslp area) for plant entry records (eg health declaration, visitor log etc.)",Local Idea,Digital Ways of Working
Maintenance,Maintenance,Process,Digital SWI for frequently failed asset,Local Idea,Digital Ways of Working
Warehouse,Warehouse,Process,Digitalization in temperature monitoring system,Local Idea,Digital Management Tools & Connectivity
Maintenance,maintenance PM technician,shadowing_0,Digitalization of work permit system,Local Idea,Digital Ways of Working
Others / Multiple Areas,IT/OT,IT/OT_System,Disaster Recovery,Local Idea,Other / Analogue
Warehouse,Warehouse,Process,Dock management system  - c3 and sap s4 hanna,Local Idea,Digital Ways of Working
Maintenance,Tank #5,shadowing_0,Double the filtration capacity for sprite,Local Idea,Advanced Production Method and Material
Large Liquid MFG,Liquid Processing,shadowing_2,DPM & Dashboard to know the work order progress,Local Idea,Digital Ways of Working
Dry Part (Auto),Piggyback,shadowing_0,DPM (Dry Part Auto),Local Idea,Digital Management Tools & Connectivity
Dry Part (Manual),Manual Kitting,shadowing_0,DPM (Dry Part Manual),Local Idea,Digital Management Tools & Connectivity
Large Liquid MFG,KO Batching (BIG),process_variability,DPM (Large Liquid MFG),Local Idea,Digital Management Tools & Connectivity
Liquid Filling (Auto),Serac 8HD,shadowing_0,DPM (Liquid Filling Auto),Local Idea,Digital Management Tools & Connectivity
Liquid Kitchen,Flexi Filling,shadowing_0,DPM (Liquid Kitchen),Local Idea,Digital Management Tools & Connectivity
Others / Multiple Areas,scheduling,scheduling,DPM (Scheduling),Local Idea,Digital Management Tools & Connectivity
Warehouse,warehouse manager,dilo,DPM (Warehouse),Local Idea,Digital Management Tools & Connectivity
Maintenance,Maintenance,Breakdown Occurence,Drone for Inspection for Facilities and ASRS,Local Idea,Advanced Production Method and Material
Warehouse,warehouse technician,shadowing_0,Drum handler utilization,Local Idea,Advanced Production Method and Material
Maintenance,Filling Dry Part Manufacturing 01,OEE top 2,Dry Part Reliability Task Force (Maintenance),Local Idea,Advanced Analytics
Dry Part (Manual),Manual filler,shadowing_0,Dry parts room traceability project,Local Idea,Digital Ways of Working
Warehouse,Warehouse,Process,DSF for Warehouse Forms,Local Idea,Digital Ways of Working
Others / Multiple Areas,Filling Dry Part Manufacturing 02,shadowing_2,DSF to eliminate the paper,Local Idea,Digital Ways of Working
Dry Part (Auto),Color,dilo,DWHI - DCOL - Automatic palletizer for white and color rooms,Local Idea,Advanced Production Method and Material
Dry Part (Auto),Color,shadowing_0,DWHI DCOL - New box maker system with bag inserter,Local Idea,Advanced Production Method and Material
Others / Multiple Areas,scheduling,scheduling,Dynamic Scheduling,Local Idea,Digital Ways of Working
Warehouse,scheduling,scheduling,Dynamic Scheduling,Local Idea,Digital Management Tools & Connectivity
Maintenance,maintenance CM technician,shadowing_0,Dynamic Scheduling & Prometheus Agenda,Local Idea,Digital Ways of Working
Others / Multiple Areas,scheduling,scheduling,Dynamic Scheduling S/4H Enhancement,Local Idea,Digital Ways of Working
Others / Multiple Areas,scheduling,scheduling,Dynamic Scheduling with APS,Local Idea,Advanced Analytics
Maintenance,Maintenance,Process,Dynamic scheduling/prometheus integration,Local Idea,Digital Management Tools & Connectivity
Others / Multiple Areas,Beverage Base Room,process_variability,Edum phase ii aa /aa for maintenance,Local Idea,Digital Ways of Working
Quality Lab,quality lab_technician,shadowing_0,Efforts integration for sample collection,Local Idea,Other / Analogue
Maintenance,Maintenance,Process,E-form for Maintenance Work Order Execution with Prometheus,Local Idea,Digital Ways of Working
Please Select,IT/OT-test,IT/OT_Process,E-kanban,Local Idea,Please Select
Dry Part (Auto),SKU,OEE top 2,Eliminate masking label,Local Idea,Other / Analogue
Warehouse,warehouse technician,shadowing_0,Eliminate the writing,Local Idea,Advanced Production Method and Material
Warehouse,Warehouse,Process,Eliminate waiting time for loading at CDD loose pallet shipment,Local Idea,Other / Analogue
Others / Multiple Areas,MUV,MUV,Enable Visibility of MUV to Drive Performance Cascade,Local Idea,Digital Management Tools & Connectivity
Quality Lab,quality ehs_specialist,dilo,Energy Management System Dashboard,Local Idea,Digital Management Tools & Connectivity
Maintenance,Maintenance,Breakdown Occurence,Energy saving initiatives,Local Idea,Other / Analogue
Dry Part (Auto),Dry Automate Filling Area Grande,OEE top 3,"Equipment drying process - post cleaning (sop advisor, dum)",Local Idea,Other / Analogue
Liquid Kitchen,Glaceau Filling Room,OEE top 3,Exclusive Filler for 5L  (imported from China Jerrycan PKG),Local Idea,Other / Analogue
Others / Multiple Areas,scheduling,scheduling,Existing aps configuration improve,Local Idea,Advanced Analytics
Others / Multiple Areas,IT/OT,IT/OT_System,Explore shopfloor wifi,Local Idea,Other / Analogue
Dry Part (Auto),FFS,dilo,FFS - line automation,Local Idea,Advanced Production Method and Material
Dry Part (Auto),Dry Semi Auto Line,shadowing_0,Filling parameter setting process optimization,Local Idea,Digital Ways of Working
Dry Part (Auto),Dry Multi-head Filling Line,shadowing_1,Filling technician job scope redesign,Local Idea,Other / Analogue
Dry Part (Auto),Filling Dry Part Manufacturing 01,shadowing_4,Find an equipment to help manual dumping of 25 kgs on mezzanine,Local Idea,Other / Analogue
Dry Part (Auto),Dry Semi Auto Line,shadowing_0,Fixed clamp,Local Idea,Other / Analogue
Large Liquid MFG,S Sab E 3&4,shadowing_1,Flasblender Replacement,Local Idea,Advanced Production Method and Material
Liquid Kitchen,Flexi Filling,shadowing_0,Flexible Mobile Cobot Cartoning and Palletising Station for Liquid Kitchen,Local Idea,Advanced Production Method and Material
Maintenance,warehouse technician,shadowing_1,Forklift management system,Local Idea,Other / Analogue
Warehouse,warehouse manager,dilo,Forklift Management System (Smartlift),Lighthouse,Digital Management Tools & Connectivity
